matnr	maktx	ersda	bstme	werks	lgort	lvorm	labst
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R110	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R109	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R108	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R107	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R106	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R105	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R104	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R103	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R102	R10A		0.000
MR411121	Samsung 52"" Class 1080p Plasma HDTV	20161222		R101	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		REF2	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		REF1	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R113	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R112	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R111	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R110	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R109	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R108	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R107	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R106	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R105	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R104	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R103	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R102	R10A		0.000
MR411120	Samsung 50" Class 1080p Plasma HDTV	20161222		R101	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		REF2	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		REF1	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R113	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R112	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R111	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R110	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R109	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R108	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R107	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R106	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R105	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R104	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R103	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R102	R10A		0.000
MR320216	PEPSI Diet Cola 2liter	20161222		R101	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		REF2	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		REF1	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R113	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R112	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R111	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R110	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R109	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R108	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R107	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R106	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R105	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R104	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R103	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R102	R10A		0.000
MR320215	PEPSI Cola 2 liter	20161222		R101	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		REF2	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		REF1	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R113	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R112	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R111	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R110	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R109	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R108	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R107	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R106	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R105	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R104	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R103	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R102	R10A		0.000
MR320214	Lemon PEPSI Cola 2liter	20161222		R101	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		REF2	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		REF1	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R113	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R112	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R111	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R110	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R109	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R108	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R107	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R106	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R105	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R104	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R103	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R102	R10A		0.000
MR320213	Vanilla Coca Cola 2liter	20161222		R101	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		REF2	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		REF1	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R113	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R112	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R111	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R110	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R109	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R108	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R107	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R106	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R105	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R104	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R103	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R102	R10A		0.000
MR320212	Diet Coca Cola 2liter	20161222		R101	R10A		0.000
MR320211	Coca Cola 2liter	20161221		REF2	R10A		0.000
MR320211	Coca Cola 2liter	20161221		REF1	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R113	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R112	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R111	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R110	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R109	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R108	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R107	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R106	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R105	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R104	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R103	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R102	R10A		0.000
MR320211	Coca Cola 2liter	20161221		R101	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		REF2	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		REF1	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R113	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R112	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R111	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R110	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R109	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R108	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R107	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R106	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R105	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R104	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R103	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R102	R10A		0.000
MR311130	Soy -Flax Clusters, 12oz	20161221		R101	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		REF2	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		REF1	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R113	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R112	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R111	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R110	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R109	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R108	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R107	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R106	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R105	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R104	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R103	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R102	R10A		0.000
MR311129	Crunchy Oat Flakes, 12oz	20161221		R101	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		REF2	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		REF1	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R113	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R112	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R111	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R110	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R109	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R108	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R107	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R106	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R105	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R104	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R103	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R102	R10A		0.000
MR311128	Golden Corn Flakes, 20oz	20161221		R101	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		REF2	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		REF1	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R113	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R112	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R111	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R110	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R109	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R108	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R107	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R106	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R105	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R104	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R103	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R102	R10A		0.000
MR311126	Kellogg's Chocolate Flakes 20 oz	20161221		R101	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		REF2	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		REF1	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R113	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R112	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R111	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R110	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R109	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R108	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R107	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R106	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R105	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R104	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R103	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R102	R10A		0.000
MR311125	Golden Corn Flakes, 20oz	20161221		R101	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		REF2	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		REF1	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R113	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R112	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R111	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R110	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R109	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R108	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R107	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R106	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R105	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R104	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R103	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R102	R10A		0.000
MR311124	Honey Crunch Corn Flakes 20 oz	20161221		R101	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		REF2	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		REF1	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R113	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R112	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R111	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R110	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R109	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R108	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R107	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R106	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R105	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R104	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R103	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R102	R10A		0.000
MR311123	Frosted Flakes 20 oz	20161221		R101	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		REF2	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		REF1	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R113	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R112	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R111	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R110	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R109	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R108	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R107	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R106	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R105	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R104	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R103	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R102	R10A		0.000
MR311122	Chocolate Flakes 20 oz	20161221		R101	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		REF2	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		REF1	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R104	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R103	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R102	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R101	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		REF2	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		REF1	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R113	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R112	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R111	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R110	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R109	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R108	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R107	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R106	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R105	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R104	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R103	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R102	R10A		0.000
MR516112025	Melania Cardigan, Black, Extra Large	20161226		R101	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		REF2	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		REF1	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R113	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R112	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R111	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R110	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R109	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R108	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R107	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R106	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R105	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R104	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R103	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R102	R10A		0.000
MR516112024	Melania Cardigan, Black, Large	20161226		R101	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		REF2	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		REF1	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R113	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R112	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R111	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R110	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R109	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R108	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R107	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R106	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R105	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R104	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R103	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R102	R10A		0.000
MR516112023	Melania Cardigan, Black, Medium	20161226		R101	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		REF2	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		REF1	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R113	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R112	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R111	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R110	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R109	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R108	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R107	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R106	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R105	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R104	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R103	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R102	R10A		0.000
MR516112022	Melania Cardigan, Black, Small	20161226		R101	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		REF2	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		REF1	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R113	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R112	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R111	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R110	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R109	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R108	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R107	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R106	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R105	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R104	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R103	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R102	R10A		0.000
MR516112021	Melania Cardigan, Black, Extra Small	20161226		R101	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		REF2	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		REF1	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R113	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R112	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R111	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R110	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R109	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R108	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R107	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R106	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R105	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R104	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R103	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R102	R10A		0.000
MR516112020	Melania Cardigan, Navy, Extra Large	20161226		R101	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		REF2	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		REF1	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R113	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R112	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R111	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R110	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R109	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R108	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R107	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R106	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R105	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R104	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R103	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R102	R10A		0.000
MR516112019	Melania Cardigan, Navy, Large	20161226		R101	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		REF2	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		REF1	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R113	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R112	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R111	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R110	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R109	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R108	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R107	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R106	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R105	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R104	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R103	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R102	R10A		0.000
MR516112018	Melania Cardigan, Navy, Medium	20161226		R101	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		REF2	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		REF1	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R113	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R112	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R111	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R110	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R109	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R108	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R107	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R106	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R105	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R104	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R103	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R102	R10A		0.000
MR516112017	Melania Cardigan, Navy, Small	20161226		R101	R10A		0.000
